tar,user_id,sku_id,view_dauer,view_times,cate,brand,market_time,shop_id,fans_num,vip_num,shop_reg_tm,shop_score,age,sex,user_reg_tm,user_lv_cd,city_level,province,city,county
0,36304,68712,1,1,7,4676,-110009890,9799,255669,34155,-119806927,9.743239,6,0,-38605573,1,5,7,8,1551
0,36231,346995,1,1,74,9802,-12041744,7658,4639,18372,-13182256,9.539136,6,1,-139839826,5,3,20,119,2709
0,8645,100913,1,1,7,1817,-654101,8576,77051,33023,-57919200,9.834507,5,0,-197251058,7,1,29,246,1035
0,7028,372527,1,1,47,10332,-75559015,834,,,,,5,1,-33439349,1,1,26,313,684
0,8347,166393,1,1,35,8645,-60856717,6241,202580,75466,-148110161,9.602207,5,1,-226126126,7,4,1,41,135
0,16531,149793,1,1,20,1472,-540210,5143,,,,,6,1,-241857415,7,3,11,348,1388
0,31145,40647,1,1,81,3428,-39823750,3982,16932,176679,-86098562,9.418023,1,1,-98538168,5,5,12,226,1660
0,24057,91010,1,1,55,2777,-26553641,5523,,,,,5,1,-51104879,1,5,28,180,743
0,28238,197855,1,1,7,7432,-122044303,5979,252214,61459,-122565237,9.783572,5,0,-49457601,1,1,6,123,146
0,27096,314369,1,1,60,7186,-111647400,9906,9880,374007,-111999843,9.399922,6,1,-4576239,6,5,2,175,2583
0,359,342519,1,1,8,2777,-79085444,542,53220,395144,-79452839,9.31107,5,0,-155879448,1,4,6,88,406
0,25426,38411,1,1,39,1268,-56805134,2777,,,,,5,0,-242914483,7,4,19,148,1825
0,26027,221249,1,1,55,6476,-7881092,3130,10825,1746,-7992180,9.591304,5,0,-163649951,1,3,20,174,2126
0,42476,262960,1,1,7,3006,-49210053,4221,89607,26668,-52728158,9.41652,2,0,-202356349,7,4,30,283,1788
0,31619,73257,1,1,10,3534,-30943,9075,1914,14981,-130757987,9.623638,6,0,-246171517,7,4,6,233,1279
0,633,174149,1,1,75,9470,-5480722,4433,,,,,4,1,-8747270,6,3,11,348,714
0,775,89731,1,1,7,7163,-14104112,8952,,,,,5,1,-11358875,6,1,26,4,2234
0,19753,175261,1,1,75,3396,-23447606,202,2609,73951,-39965760,9.688186,6,0,-39432401,5,3,23,204,296
0,19067,50718,1,3,75,4528,-72685597,10254,,,,,5,0,-186736887,7,3,11,348,612
0,32657,367298,1,1,7,2440,-129280410,3037,2989,48802,-131032228,9.36228,6,0,-251862432,7,4,1,41,2196
0,1205,356508,1,1,7,3292,-23082227,1107,,,,,5,0,-64474555,1,3,20,119,670
0,39060,248051,1,1,7,7163,-241089257,8952,,,,,6,0,-169208065,7,2,3,24,577
0,40220,101413,1,1,55,2484,-33116864,3230,206566,873780,-33124032,9.427261,1,0,-541164,1,4,20,293,872
0,6973,99122,1,1,7,2176,-14999708,9443,4436,36708,-80290696,9.18639,5,1,-71925993,5,1,26,108,2424
0,1440,143190,1,1,62,9349,-58954943,2514,1193,12392,-59302922,9.063297,2,1,-135824515,7,3,11,348,1388
0,2755,95173,1,1,41,2777,-23452575,5523,,,,,5,1,-43596177,1,4,30,283,653
0,13431,102759,1,1,,,,,,,,,4,1,-77186186,6,4,25,312,258
0,186,20146,1,1,43,1472,-65612541,3663,15645,1196797,-115049401,9.295636,6,1,-27175909,6,4,29,245,1132
0,33916,186632,1,1,27,830,-103896160,6140,145196,208967,-120908035,9.553001,6,1,-203611596,7,1,7,57,1765
0,33819,255408,1,1,81,3954,-26096059,8633,39385,6423,-99402962,9.535882,1,0,-110357685,7,5,29,35,2628
0,24974,203611,3,3,7,10480,-13072740,563,846210,232937,-76340758,9.573487,6,0,-137039565,7,4,1,41,370
0,5747,106227,1,1,81,2603,-50400297,6944,63969,85597,-102676061,9.66568,6,0,-115338703,5,1,9,196,2372
0,40841,228833,1,1,9,3263,-5454239,1316,163191,211176,-43564568,9.363241,6,1,-200302598,5,4,30,283,673
0,26782,154447,1,5,41,11114,-57312493,802,,,,,5,1,-48592227,7,1,28,9,324
0,6912,63075,1,1,42,11114,-43481492,866,126015,190913,-44007966,9.406041,5,1,-140516641,5,4,3,82,2136
0,18869,286480,1,1,34,2484,-2019486,4178,,,,,5,0,-210090740,7,4,1,41,1468
0,3582,344340,1,1,7,7163,-162207209,8952,,,,,2,0,-178335621,7,4,20,120,741
0,13455,248051,3,2,7,7163,-241089257,8952,,,,,6,0,-72140849,7,4,8,182,1650
0,5902,41137,1,1,29,9696,-39514320,8316,,,,,6,0,-87274693,5,5,29,173,1638
0,3746,272352,1,1,7,7628,-49537272,5773,,,,,5,0,-163730403,5,1,22,359,2411
0,38227,88390,1,1,7,2200,-5300746,6478,582722,68837,-57312120,9.456515,5,0,-199683476,7,3,20,174,2262
0,23411,10006,1,1,27,2484,-23522773,4024,36502,496586,-24327622,9.408314,5,1,-55123129,5,4,25,312,258
0,32800,290419,1,1,24,10009,-5746731,906,708,21059,-13148325,9.210257,2,1,-7102169,1,1,7,213,1436
0,11783,135362,1,1,7,262,-14102680,7082,,,,,5,0,-180536091,7,3,11,348,612
0,34175,230239,1,1,7,8488,-4421387,3225,,,,,6,0,-23371600,6,1,26,34,2639
0,22895,18998,1,1,7,3292,-58091308,7379,221804,114783,-83593322,9.673994,6,0,-172331980,5,3,11,348,1782
0,24268,66086,1,1,27,7954,-19747073,5464,16020,77635,-114352201,9.611168,5,0,-123513237,5,1,10,261,186
0,12805,27075,1,1,20,5287,-4107141,4241,3748112,4868959,-25933864,9.690087,5,1,-115030334,6,4,3,82,2274
0,25100,95800,1,1,55,2777,-61115716,5523,,,,,4,0,-107773133,5,4,29,245,1979
0,18706,19643,1,1,34,1020,-11604754,4349,27837,279449,-16271249,9.615594,6,1,-105455224,7,3,20,174,2278
0,2061,4964,1,1,53,7651,-148050451,825,15260,71353,-148110163,9.760775,6,0,-107228010,7,4,1,41,2058
0,29633,170129,3,2,7,5701,-18185804,6658,740434,87425,-19291885,9.404424,6,0,-104150923,7,1,7,213,2065
0,24713,270279,1,1,10,9682,-14387159,6254,42311,167459,-192192526,9.599397,6,0,-54818193,1,5,14,107,1602
0,30121,133959,1,2,64,2751,-36226864,5329,58398,58494,-148110164,9.621522,6,1,-187494694,7,1,26,313,1459
0,27643,358266,1,1,17,4556,-29597024,7745,1069,4786,-33553136,8.983453,5,0,-165457093,7,5,14,192,600
0,12625,100913,1,1,7,1817,-654101,8576,77051,33023,-57919200,9.834507,5,0,-178448864,7,3,23,204,1588
0,42410,262872,1,1,73,9985,-114962614,6367,,,,,5,0,-155997813,7,3,20,119,2709
0,33846,287675,1,1,7,8388,-14655584,9484,121053,42227,-57424529,9.517543,6,0,-172310955,7,3,11,348,1523
0,1690,280122,1,2,42,8316,-47900923,3501,3324,177995,-47902920,9.392067,1,0,-44094151,1,4,22,310,1430
0,5747,281779,1,1,81,265,-5491915,4222,32753,43652,-5570100,9.65563,6,0,-115338703,5,1,9,196,2372
0,30118,168630,1,1,7,3292,-94810927,9186,134142,656114,-147522630,9.559208,5,0,-166944441,5,3,20,174,2262
0,13585,302239,1,1,81,6062,-111153057,8148,94311,148435,-111670201,9.346251,6,0,-40010303,5,5,15,92,2741
0,28126,7477,1,1,27,7954,-19919348,6906,126549,127092,-19968527,9.520987,2,1,-2264209,6,4,14,331,634
0,24605,86136,1,1,80,8135,-23090333,3999,873,6787,-24644914,9.365179,6,0,-27233699,1,4,20,293,704
0,10643,316408,1,1,30,3263,-15846490,2677,11045,112359,-49102465,9.442282,2,0,-227576305,5,3,23,204,2432
0,40062,267029,3,3,81,6062,-105973670,8148,94311,148435,-111670201,9.346251,5,1,-57310426,1,5,15,343,2429
0,25097,370756,1,1,20,10289,-65269723,3578,58801,97678,-65356199,9.48444,6,0,-4242997,6,4,14,331,1643
0,24463,317853,1,1,7,10421,-48408306,6386,1476,11567,-89649121,9.61743,6,0,-3035120,1,1,29,246,1040
0,17988,16306,1,1,7,2565,-2275315,6813,33698,24170,-76338841,9.357745,1,0,-113142468,7,5,30,231,2240
0,16087,28447,1,1,12,3497,-1339855,3286,2762,10285,-4691700,9.530602,4,1,-32925603,1,4,1,41,2058
0,1057,311326,1,1,27,2484,-24564481,9359,112088,35163,-24753991,9.518991,6,0,-57553802,6,3,20,174,618
0,10194,240075,1,1,68,5504,-5550221,5330,,,,,5,0,-153820496,5,4,30,283,191
0,28595,218233,3,2,7,6279,-142090659,10259,,,,,5,0,-130804570,7,3,23,204,735
0,24985,242066,1,1,81,417,-59126444,1793,28104,111735,-78156480,9.464441,1,0,-67531448,5,3,20,174,2343
0,12067,355867,1,1,22,6617,-1149170,8413,42877,56240,-90743762,9.683867,6,0,-110534196,7,4,7,128,1947
0,20948,124471,1,1,7,5849,-8989408,9555,2102,4311,-9271800,9.831774,5,0,-213004707,7,3,11,348,1523
0,25060,155001,1,1,7,3292,-4446126,3972,,,,,4,0,-84618810,1,4,17,191,76
0,42676,349836,1,1,7,3292,-84694262,1107,,,,,5,0,-195119881,7,4,17,191,76
0,29885,269974,1,1,27,2484,-149949162,4178,,,,,1,0,-149070428,7,3,23,204,2206
0,28838,289625,1,1,7,4511,-20502627,2416,47623,12553,-20696984,9.789986,4,0,-110116509,1,5,26,38,934
0,31639,289214,1,1,7,3448,-233563640,8039,,,,,5,0,-185442551,7,1,5,55,1590
0,11774,54265,1,1,7,3292,-75130499,563,846210,232937,-76340758,9.573487,5,0,-231912354,7,3,20,119,187
0,42521,289214,1,1,7,3448,-233563640,8039,,,,,6,0,-145278526,5,1,20,305,2792
0,12498,248051,1,2,7,7163,-241089257,8952,,,,,6,0,-143510925,7,3,23,204,735
0,40347,204151,1,1,31,4356,-57043002,5632,456820,403680,-75632641,9.749467,6,0,-91939853,1,5,8,222,994
0,5747,79346,3,3,81,2603,-54883907,5795,67539,6670,-63531843,9.51345,6,0,-115338703,5,1,9,196,2372
0,41383,44752,1,1,7,10977,-42215921,7659,4095,12922,-59130842,8.928372,6,0,-195052118,5,4,20,293,811
0,23108,252545,1,1,7,1142,-241167466,3217,,,,,6,0,-336467285,7,5,25,168,144
0,3755,213364,1,1,7,1142,-18941662,3217,,,,,5,0,-16275932,1,1,7,213,1436
0,24268,221712,1,1,27,2777,-4199606,789,7034,64875,-24390209,9.532635,5,0,-123513237,5,1,10,261,186
0,28677,284252,1,1,72,3525,-109856940,1678,23855,26293,-168601713,9.334405,2,1,-208530399,7,3,11,348,2316
0,27643,85479,1,1,17,107,-56705325,7318,40173,23816,-93857282,9.507546,5,0,-165457093,7,5,14,192,600
0,15140,348663,1,1,7,3292,-131695150,1107,,,,,5,1,-178034587,7,3,11,348,1782
0,8777,172696,1,1,7,8567,-117274478,3568,,,,,5,0,-187454986,5,5,7,155,2302
0,25163,133920,1,1,9,4730,-9550231,9629,2262,10620,-45320520,9.505883,5,1,-28385124,6,3,23,204,2437
0,31426,151241,1,1,7,262,-53780877,1912,2511707,175996,-81159962,9.639505,6,1,-23257127,1,5,15,154,1399
0,40407,200854,1,1,7,531,-56184926,5308,,,,,5,0,-103884117,5,1,7,205,214
0,38739,60113,1,1,7,7163,-14104128,8952,,,,,6,0,-73491529,7,1,26,4,1846
0,19049,240172,1,1,34,2777,-104136368,5523,,,,,5,1,-39783213,5,5,13,140,1977
0,18078,260865,1,1,77,9764,-2958668,5330,,,,,4,0,-63251967,5,5,4,272,1762
0,7475,137439,1,1,41,4617,-127727462,7212,,,,,1,1,-120455782,7,3,23,204,306
0,8520,196972,1,1,7,8567,-92044580,3568,,,,,5,0,-27781026,5,5,31,277,1271
0,3151,248051,1,1,7,7163,-241089257,8952,,,,,5,1,-63686011,7,5,8,351,2326
0,30114,126249,1,1,7,1142,-111997410,2357,41595,158060,-164032759,9.566711,6,0,-45459696,5,4,1,41,2727
0,24625,229912,1,1,7,9394,-28617353,7099,,,,,5,0,-129196063,7,3,11,348,2136
0,2195,354643,1,1,69,3428,-28883957,3639,4672,79601,-43141811,9.436413,6,0,-267444942,7,3,23,204,1588
0,9538,52480,1,1,7,1142,-118226446,3217,,,,,5,0,-149912908,7,3,11,348,2316
0,21020,92028,1,1,12,2817,-38816054,10145,561,4229,-116241855,9.064442,6,0,-90410621,7,3,23,204,2432
0,18045,296712,1,2,3,6340,-18611292,8061,12089,37011,-29512461,9.296432,6,0,-188824262,1,5,5,344,1774
0,11344,218951,1,1,12,11114,-67856534,802,,,,,5,0,-219447503,7,3,23,204,1991
0,30498,372889,1,1,34,2498,-50069815,1330,15596,41598,-87117602,9.625751,4,0,-69935813,5,5,30,267,2685
0,17945,276926,1,1,34,9915,-51349783,6645,64040,15243,-52393680,9.527472,6,1,-104386791,1,5,22,285,1403
0,10696,207623,1,1,7,262,-154788377,7082,,,,,6,0,-233069234,7,3,11,348,714
0,16874,99254,1,1,7,1771,-45810775,5733,398541,856414,-147072640,9.426208,6,0,-99583636,5,5,21,243,10
0,33360,185117,1,1,43,11114,-47892423,802,,,,,6,1,-70936840,1,4,1,41,1359
0,30125,118282,1,1,7,9169,-106045350,918,6222,44182,-109065963,9.300922,5,0,-72435723,5,1,26,4,1846
0,5751,199456,1,1,77,4088,-26010363,7217,1967,12128,-80366652,9.321292,5,1,-192621485,5,3,23,204,735
