tar,user_id,sku_id,view_dauer,view_times,cate,brand,market_time,shop_id,fans_num,vip_num,shop_reg_tm,shop_score,age,sex,user_reg_tm,user_lv_cd,city_level,province,city,county
0,9964,171479,1,1,56,2165,-14446668,7257,,,,,5,0,-225471440,7,3,11,348,688
0,30118,135317,1,1,7,3292,-56368830,1107,,,,,5,0,-166944441,5,3,20,174,2262
0,33619,142280,3,3,7,7163,-129622363,8952,,,,,5,0,-160479657,7,4,8,182,709
0,1884,250802,1,1,7,3292,-144516476,1107,,,,,5,0,-23421239,1,1,6,123,2492
0,10800,138751,2,3,55,6476,-7990625,9081,68161,40173,-9107280,9.56432,1,0,-40284360,1,5,2,263,1142
0,41886,289214,1,2,7,3448,-233563640,8039,,,,,6,0,-240458753,7,3,11,348,2136
0,17238,170396,1,1,7,10732,-38747060,3068,1702,7901,-39950787,9.53811,6,1,-188290741,7,3,11,348,612
0,3746,357387,1,1,7,1142,-155894174,3217,,,,,5,0,-163730403,5,1,22,359,2411
0,21692,5597,4,10,81,8482,-634297,6641,43753,4307,-7301160,9.409177,2,0,-227838482,7,3,11,348,714
0,15238,187145,1,1,34,2777,-26553640,5523,,,,,4,0,1377701,6,6,19,355,2120
0,17028,209168,1,1,67,6090,-37620239,633,,,,,6,1,-105016582,7,2,9,337,1779
0,23813,101645,1,1,34,2484,-91868418,4178,,,,,5,0,-172370340,7,1,20,211,1432
0,19798,242919,1,1,7,3292,-50934286,563,846210,232937,-76340758,9.573487,5,0,-179330732,7,3,11,348,838
0,24468,221937,1,2,35,9985,-58796047,9603,78550,309377,-85805286,9.448691,5,1,-48176819,1,3,11,348,714
0,779,50186,1,1,52,3263,-137142339,5765,,,,,5,0,-94454823,5,5,26,44,1137
0,25953,332400,1,1,26,1304,-41070605,4848,178374,274518,-88495082,9.496107,1,1,-5846765,6,3,23,204,735
0,13646,167003,1,1,34,3263,-16900446,5765,,,,,5,0,-166929510,5,4,8,182,709
0,41118,201469,1,2,73,3191,-239724051,1783,,,,,5,1,-154411402,5,4,8,182,1630
0,2365,206484,1,1,76,2777,-23452569,5523,,,,,5,1,-69842916,5,1,26,108,1842
0,27368,78161,1,1,55,2484,-85828197,4178,,,,,5,0,-220080829,7,3,20,174,618
0,33896,261960,1,1,75,5277,-26720400,7141,,,,,6,0,-179465323,7,4,6,233,1968
0,16614,309106,1,1,76,2777,-259589074,5523,,,,,6,0,-129970436,5,1,22,359,2759
0,8574,330042,1,1,7,3292,-23082237,1107,,,,,5,0,-145727733,5,4,14,331,1643
0,41118,223761,1,1,34,2777,-64923835,10036,205360,545675,-71223721,9.345437,5,1,-154411402,5,4,8,182,1630
0,16039,68189,1,1,7,10732,-57482608,339,23742,83051,-61132802,9.704283,4,1,-4360102,1,3,11,348,2136
0,38422,937,1,1,7,1142,-2867679,3217,,,,,5,0,-192713888,5,1,20,29,2298
0,24175,343993,1,1,7,1142,-6499855,3217,,,,,5,0,-231394093,7,1,6,189,1968
0,21332,157053,1,1,8,2484,-179824282,4178,,,,,6,1,-201341849,7,3,23,204,1303
0,29117,65555,1,1,7,3448,-82897382,5159,5220,27077,-117363221,9.66744,4,0,-120736299,1,5,7,8,2518
0,1248,287060,1,1,7,3292,-96022609,355,6247,12402,-99818523,9.482555,6,0,-142656912,7,3,23,204,1991
0,35681,258492,1,1,34,2484,-116936814,4178,,,,,5,0,-21048869,1,1,25,328,1166
0,37059,172956,1,2,17,2364,-84086631,2367,11612,48589,-84185642,9.558821,6,0,-37341377,1,3,11,348,2316
0,11843,316822,1,1,56,3101,-259580337,975,,,,,6,0,-208960906,7,1,31,18,864
0,19285,243569,2,2,9,2777,-22489663,5523,,,,,2,0,-107431995,7,4,6,58,561
0,33210,29808,1,1,34,8943,-52638740,9897,1302,3633,-53075160,8.984944,2,0,-153792612,7,3,20,174,2262
0,15529,73839,1,1,16,830,-8431825,8101,,,,,5,1,-81154431,5,5,26,315,790
0,19705,39473,1,1,75,5504,-144754100,8510,37605,133266,-145663197,9.60314,5,0,-272880957,5,4,29,245,1915
0,775,285861,1,1,7,10732,-146743296,8411,,,,,5,1,-11358875,6,1,26,4,2234
0,17320,185626,1,1,77,9696,-72520793,8316,,,,,2,1,-57209883,5,1,15,241,2200
0,5683,128217,1,1,22,11114,-55674882,4303,326523,752742,-88861681,9.631294,1,1,-217849158,7,4,6,88,406
0,28858,104189,1,1,27,2777,-69753547,5523,,,,,6,0,-169516607,7,3,11,348,612
0,6979,84311,3,2,7,8469,-11630869,978,39454,1910,-11882520,9.7174,5,0,-71803366,1,3,20,119,187
0,37043,48406,1,1,7,7163,-46075219,8952,,,,,5,0,-208403141,5,3,20,174,1920
0,17695,344983,1,1,27,543,-128765285,2996,,,,,5,1,-25584862,6,5,31,177,1070
0,16518,8980,1,1,34,3263,-14453022,5765,,,,,2,0,-109650039,5,3,20,119,187
0,8888,32955,1,2,67,5064,-122988260,8945,23611,73849,-130511517,9.387401,2,0,-14549457,6,5,20,43,2459
0,1252,219256,1,1,62,2654,-24121853,9699,,,,,5,1,-42813370,1,5,31,25,349
0,37264,240294,1,1,55,2484,-14045722,4178,,,,,5,0,-72710399,5,4,22,74,556
0,24010,24445,1,1,7,5012,-720918,2754,,,,,6,0,-7041893,6,1,7,57,2059
0,13080,324581,1,1,34,2484,-8931060,10057,8900,181316,-72535201,9.28617,5,0,-193148448,7,1,5,55,99
0,10781,121639,1,1,7,8950,-10934662,7110,407,700,-13185352,9.74631,6,0,-57571704,1,5,28,228,2308
0,36304,183808,1,1,7,10290,-65087738,809,2187,14699,-81766455,9.369135,6,0,-38605573,1,5,7,8,1551
0,30029,212053,1,1,7,1771,-182262691,5733,398541,856414,-147072640,9.426208,2,0,-111170546,7,1,6,123,146
0,779,348049,1,1,52,3263,-44083284,3704,37398,204430,-49816080,9.462484,5,0,-94454823,5,5,26,44,1137
0,19672,171136,1,1,7,262,-40541719,7082,,,,,6,0,-180627061,7,4,17,191,34
0,39438,42153,1,1,7,10732,-41596015,339,23742,83051,-61132802,9.704283,2,1,-1065890,6,3,11,348,170
0,2727,153154,1,1,7,1142,-21520141,3217,,,,,5,0,-82872407,7,3,20,174,618
0,35032,46729,1,1,7,3448,-43584949,8039,,,,,5,0,-55259429,5,4,22,310,481
0,25734,264655,5,3,75,653,-22828198,3773,31328,83033,-149257180,9.40171,6,0,-206784878,7,1,26,360,2523
0,4687,107385,1,2,12,11114,-7649487,4303,326523,752742,-88861681,9.631294,6,1,-188108695,5,4,1,41,2196
0,27793,360925,1,1,7,3292,-171296698,1107,,,,,2,0,-62824950,6,5,26,89,2217
0,42368,326618,1,1,20,3280,-78823626,7204,111054,198661,-78842281,9.746891,6,0,-125193317,5,4,20,120,741
0,40520,305998,1,1,7,8567,-35122241,3568,,,,,5,0,-93611098,5,1,26,34,1120
0,17968,161404,1,1,27,7349,-128063568,7603,,,,,5,1,-250652174,7,3,11,348,1523
0,38403,316822,1,2,56,3101,-259580337,975,,,,,5,1,-29572606,7,4,25,210,696
0,38293,39828,1,1,7,2565,-14965999,5332,,,,,5,0,-168909486,5,5,28,153,1745
0,3331,362523,1,1,7,1771,-8938360,5330,,,,,6,0,-46608357,7,1,26,34,1323
0,41886,133780,1,1,7,1771,-188039407,6703,,,,,6,0,-240458753,7,3,11,348,2136
0,35042,275374,4,6,7,7163,-206810539,1709,36143,179114,-164152796,9.620338,5,0,-91373771,7,3,20,119,670
0,14633,32105,1,2,73,7162,-22403217,107,,,,,5,1,-86015444,6,1,22,359,732
0,31794,346840,1,1,25,9783,-29758332,3933,,,,,6,0,-147928314,7,1,26,4,1846
0,16815,162539,1,1,7,7163,-12722396,9186,134142,656114,-147522630,9.559208,5,0,-183346846,5,3,11,348,2136
0,11073,59936,1,1,7,8827,-133102980,7405,757,29019,-147075542,9.683185,2,0,-270457129,7,3,11,348,612
0,5063,248754,1,1,31,1274,-130408052,5708,147229,787130,-132323085,9.694876,5,1,-57932547,5,4,12,198,2018
0,24042,239203,1,1,43,10874,-8669527,3281,124494,71375,-9549180,9.418996,5,1,-78645357,5,3,11,348,2316
0,17243,131021,1,1,10,1520,-16789043,7758,,,,,5,1,-112717132,5,4,1,41,2742
0,17497,285861,1,1,7,10732,-146743296,8411,,,,,4,1,-158261685,5,5,30,68,821
0,35133,145577,1,1,23,9352,-35800569,2183,13677,55844,-75032380,9.920421,5,0,-147795644,7,3,11,348,612
0,27375,198249,1,1,10,1791,-42368176,1709,36143,179114,-164152796,9.620338,1,1,-33126824,7,1,10,261,1956
0,4086,360925,1,1,7,3292,-171296698,1107,,,,,5,0,-49281030,1,3,11,348,1523
0,12628,313163,2,2,52,2484,-30960346,8599,256016,1082610,-139900857,9.162632,5,1,-4535627,6,4,6,88,2048
0,4670,216400,1,1,67,5277,-14131908,4005,94825,761839,-70013522,9.706824,5,0,-121515167,7,4,30,283,2477
0,32731,90381,1,1,7,3292,-137594827,7642,120547,14428,-137999190,9.264506,2,0,-220886681,7,3,23,204,2616
0,23110,361207,1,1,39,2035,-2867586,9257,,,,,6,0,-133367588,7,3,23,204,531
0,28455,100019,1,3,75,10865,-56094615,10324,2004,63767,-180763170,9.41603,6,1,-110795159,5,3,20,174,2278
0,18490,218250,1,1,15,10790,-155555087,3402,,,,,5,1,-186817213,7,5,6,81,1944
0,8828,107721,1,1,75,4220,-14606111,1286,2906,16516,-57366720,9.359051,6,0,-160646484,7,1,21,275,1716
